date,version,count
2026-06-13,ACF,5
2026-06-13,ALM1911,3
2026-06-13,ARA,2
2026-06-13,ARC,2
2026-06-13,AS21,1
2026-06-13,BLIVRE,0
2026-06-13,JFAA,1
2026-06-13,KJA,2
2026-06-13,KJF,3
2026-06-13,MENS,1
2026-06-13,NAA,3
2026-06-13,NBV,0
2026-06-13,NTLH,1
2026-06-13,NVI,4
2026-06-13,NVT,1
2026-06-13,OL,0
2026-06-13,TB,5
2026-06-13,VFL,0
2026-06-14,ACF,12
2026-06-14,ALM1911,5
2026-06-14,ARA,8
2026-06-14,ARC,8
2026-06-14,AS21,3
2026-06-14,BLIVRE,4
2026-06-14,JFAA,2
2026-06-14,KJA,10
2026-06-14,KJF,5
2026-06-14,MENS,3
2026-06-14,NAA,11
2026-06-14,NBV,4
2026-06-14,NTLH,3
2026-06-14,NVI,10
2026-06-14,NVT,7
2026-06-14,OL,3
2026-06-14,TB,8
2026-06-14,VFL,1
